,VIOLATION_ID,ORG_ID,VIOLATION_TYPE,VIOLATION_DESC,VIOLATION_TEXT,REMEDIAL_TEXT,TABLE_NAME,EXPIRED_FLAG,DATE_EXPIRED,CREATED_BY,DATE_CREATED,MODIFIED_BY,DATE_MODIFIED,FEE_SETUP_ID,Unnamed: 14,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,master_category
14,16,1,DUMPDESIG,dumping in permitted places,Section 10.20.130 - Dumping permitted in designated places only: (A). It is unlawful for any person to dispose of or cause to be disposed any waste upon any property other than a disposal cility designated and approved by the metropolitan government. ,,,,,,,,,,,,,,dumping,,illegal_business_operations,,,,,,,dumpingillegal_business_operations
15,17,1,DUMPSTER,hours of collection & dumpster required,Section 10.20.330 – Dumpsters – Hours of Collection: No person shall empty container between the hours of 11 p.m. and 7 a.m. when the containers are located within 600 feet of any residential structure.,CAMCL_LIT_NOTICE,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,,,,trash,,,,trash
16,18,1,ECSYSHZ,electrical system hazards,"Section 16.24.490 (C) - Electrical System Hazards: [The] electrical system in a building or structure constitutes a hazard to the occupants or the building or structure by reason of  inadequate service,  improper fusing,  insufficient receptacles and  lighting outlets,  improper wiring,  or installation,  deterioration,  damage, or for similar reasons, the defects [are] to be corrected to eliminate the hazard. ",CAAE_ELECSYS_HAZ,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,electrical,,,,,,,,electrical
17,19,1,ECSYSHZCRT,electrical system certification,Section 16.24.490 (C) - Electrical System Hazards (Certification): Electrical system must be inspected and certified to be in a safe operating condition by a licensed electrician.,CAAE_ELECSYS_HAZCERT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,electrical,,,,,,,,electrical
18,20,1,ELECEAREC,electrical receptacles,Section 16.24.500 (B) Receptacles: Every habitable space in a dwelling shall contain at least two separate and remote receptacle outlets.  Every laundry area shall contain at least one ground-type receptacle or a receptacle with a ground fault circuit interrupter.  Every bathroom shall contain at least one receptacle.  Any new bathroom receptacle outlet shall have ground fault circuit interrupter protection.,CAAE_ELECEA_RECPT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,electrical,,,,,,,,electrical
19,21,1,ELECEQ,electrical equipment ,"Section 16.24.500 (A) - Electrical Equipment Installation: All  electrical equipment,  wiring, and  appliances shall be properly installed and maintained in a safe and approved manner.",CAAE_ELEC_EQ,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,electrical,,,,,,,,electrical
20,22,1,ELECEQLIGH,electrical lighting fixtures,"Section 16.24.500 (C) - Lighting Fixtures: Every  public hall,  interior stairway,  toilet room,  kitchen,  bathroom,  laundry room,  boiler room, and  furnace room shall contain at least one electric lighting fixture. ",CAAE_ELECEQ_LIGHT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,electrical,,,,,,,,electrical
21,23,1,ELECFAC,electrical facilities required,Section 16.24.490(A) - Electrical Facilities Required: Every occupied building or structure shall be provided with an electrical system in compliance with the requirements of this section and Section 16.24.530.,CAAE_ELECFAC,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,electrical,,,,,,,,electrical
22,24,1,ELECSVCPAN,electrical service panel,"Section 16.24.490 (B) - Electrical Service: Service to the dwelling unit shall be a minimum of one hundred ampere, with three-wire capacity and service equipment shall be dead-front, having no live parts exposed.  Type “S” fuses shall be installed when fused equipment is used.",CAAE_ELECSVC_PANEL,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,electrical,,,,,,,,electrical
23,25,1,EXPARK,exterior prop area – vehicles – parking,"Section 16.24.330 (K)(3) – Motor Vehicles (Parking): Every motor vehicle located on private property shall be either stored inside a fully enclosed structure or similarly enclosed area designated and approved for such purposes, or parked or stored in a safe manner on a paved or graveled area, other than a sidewalk.  ",CAAH_EXT_PARK,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,vehicle,,,,,propvehicle
24,26,1,EXTACC,exterior prop area – acces structures,"Section 16.24.330 (H) – Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained in a structurally sound manner, in good repair, and in an otherwise safe, clean, and sanitary condition.",CAAH_EXT_ACC,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
25,27,1,EXTBAHAT,exterior of bldgs – basement hatchways,"Section 16.24.340 (R) – Basement Hatchways: Basement hatchways, bulkhead enclosures, and crawl space access doors shall be maintained to prevent the entrance of rodents, rain, and surface drainage water.",CAAH_EXT_BAHAT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
26,28,1,EXTBAL,exterior of buildings - balconies,"Section 16.24.340 (J) – Balconies: Every exterior balcony and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_BALCO,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
27,29,1,EXTCHIMTW,exterior of bldgs – chimneys and towers,"Section 16.24.340 (K) – Chimneys and towers: All chimneys, cooling towers, smoke stacks, and similar appurtenances shall be maintained structurally safe and sound, and in good repair. ",CAAH_EXT_CHIMTW,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
28,30,1,EXTDEC,exterior of buildings – decks,"Section 16.24.340 (J) – Decks: Every exterior deck and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_DECK,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
29,31,1,EXTDECF,exterior of bldgs – decorative features,"Section 16.24.340 (H) – Decorative Features: All cornices, belt courses, corbels, terra cotta trim, wall facings, and similar decorative features shall be maintained in good repair with proper anchorage and in a safe condition.",CAAH_EXT_DECF,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
30,32,1,EXTDENBW,exterior prop area – fences  barbed wire,Section 16.24.330 (O) – Fences (Barbed Wire): Barbed wire or razor wire fencing shall be prohibited in all residential zoning districts unless the property satisfies all of the requirements of Section 17.16.330. ,CAAH_EX_FENBW,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,dumping,electrical,,,,,,,,propdumpingelectrical
31,33,1,EXTDOOR,exterior of buildings – doors,"Section 16.24.340 (Q) – Doors: All exterior doors, door assemblies, and hardware shall be maintained in good condition. Locks at all entrances to dwelling units, rooming units and guestrooms shall tightly secure the door. Locks on means of egress doors shall be in accordance with the requirements of Section 16.24.530 as follows: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys or special knowledge, tools, or effort, except where the door conforms to that permitted by the building code.",CAAH_EXT_DOOR,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
32,34,1,EXTEPIDRES,exterior of buildings – premises id res,"Section 16.24.340 (C)(1)– Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Residential property shall have their numbers at least three inches in size, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIDRES,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
33,35,1,EXTERMOCUP,extermination – multiple occupancy,"Section 16.24.370 (C) - Extermination required (Multiple Occupancy) The owner of a building or structure containing two or more dwelling units, a multiple occupancy, a rooming house, or a nonresidential building or structure shall be responsible for extermination in the public or shared areas of the building or structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied by said occupant, the occupant shall be responsible for extermination.",CAAH_EXTER_MOCCUP,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,occupancy,,,,,,,,,,occupancy
34,36,1,EXTEROCCUP,extermination – single occupant,Section 16.24.370 (B) - Extermination Required (Single Occupant) The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for extermination on the premises.,CAAH_EXTER_OCCUP,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,occupancy,,,,,,,,,,occupancy
35,37,1,EXTEROWNER,extermination – owner,"Section 16.24.370 (A) - Extermination Required (Owner Responsibility) The owner of any building or structure shall be responsible for extermination within the building or structure, or part thereof, prior to renting or leasing the building or structure, or part thereof.",CAAH_EXTER_OWNER,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,occupancy,,,,,,,,,,occupancy
36,38,1,EXTERREQ,extermination required,"Section 16.24.370 - Extermination Required. Approved extermination processes that are not injurious to human health shall be promptly employed to rid any building or structure in which insects or rodents are found. After extermination, proper precautions shall be taken to prevent re-infestation.",CAAH_EXTER_REQ,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,occupancy,,,,,,,,,,occupancy
37,39,1,EXTERSOCC,extermination – occupant,Section 16.24.370 (D) - Extermination Required (Occupant) The occupant of any building or structure shall be responsible for the continued rodent and pest-free condition of the structure.,CAAH_EXTER_SOCCUP,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,occupancy,,,,,,,,,,occupancy
38,40,1,EXTEXAH,exterior prop area – exhaust vents,"Section 16.24.330 (G) – Exhaust Vents: Exhaust pipes, ducts, conductors, fans, vents, or blowers shall not discharge gases, steam, vapor, hot air, crease, smoke, odors, or other gaseous or particulate wastes directly upon abutting or adjacent public or private property or that of another tenant.",CAAH_EXT_EXAH,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
39,41,1,EXTEXTWALL,exterior of buildings – exterior walls,"Section 16.24.340 (F) – Exterior Walls: All exterior walls shall be free from holes, breaks, and loose or rotting materials, and shall be maintained in a weatherproof and properly coated where required to prevent deterioration.",CAAH_EXT_EXTWALL,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
40,42,1,EXTFDWALL,exterior of buildings – foundation walls,Section 16.24.340 (E) – Foundation Walls: All foundation walls shall be maintained plump and free from open cracks and break and shall be kept in such condition so as to prevent the entry of rodents and other pests.,CAAH_EXT_FDWALL,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,inspector_notes,,propinspector_notes
41,43,1,EXTFENMAIN,exterior prop area – fence material main,"Section 16.24.330 (M) – Fence Maintenance: Metal fences shall consist of materials manufactured and/or treated in a manner to prevent rust or corrosion. Wood fences shall be painted, stained or preserved in a manner to maintain the fence in food structural condition. This is not limited to the replacement of broken boards or sections and preventing paint from peeling.",CAAH_EXT_FENMAINT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
42,44,1,EXTFENMAT,exterior prop area – fencing materials,"Section 16.24.330 (L) – Fencing Materials: Fencing shall be either woven wire or chain link, wrought iron, wood, vinyl, steel or aluminum slats, masonry consisting of brick, concrete block, split-face block, dry-stack stones, or stones and mortar;  Plastic or other approved synthetic material, or decorative-type split rail or dry-stack stone used for decorative fences.",CAAH_EXT_FENMAT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
43,45,1,EXTGATE,exterior prop area – gates,"Section 16.24.330 (I) – Gates: gates which are required to be self-closing and self-latching, in accordance with the Building Code shall be maintained such that the gate will positively close and latch when released from a still position of six inches from the gatepost.",CAAH_EXT_GATE,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
44,46,1,EXTGBAWIN,exterior of bldgs – guards basement wind,"Section 16.24.340 (S) – Guards for Basement Windows: Every basement or cellar window, that is openable, shall be supplied with screens of standard-size mesh, or other approved protection against the entry of rodents.",CAAH_GBAWIN,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
45,47,1,EXTGLAZ,exterior of buildings – glazing,Section 16.24.340 (N) – Glazing: All glazing materials shall be maintained free from cracks and holes.,CAAH_EXT_GLAZ,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
46,48,1,EXTGRAD,exterior prop area – grading required,"Section 16.24.330 (C) – Grading Required: All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any building or structure located thereon.",CAAH_EXT_GRAD,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
47,49,1,EXTGUTTTER,exterior of bldgs – roofs– gutter sys,"Section 16.24.340 (G) – Roof Gutters: Roof drains, gutters, and downspouts shall be maintained in good repair and free from obstructions. Water shall not be discharged in a manner that creates a public nuisance.",CAAH_EXT_GUTTER,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
48,50,1,EXTHANDGRD,exterior of bldgs – handrails and guards,Section 16.24.340 (L) – Handrails and Guards: Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.,CAAH_EXT_HANDGRD,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
49,51,1,EXTOPNWIN,exterior of buildings – openable windows,"Section 16.24.340 (O) – Openable Windows: Every window, other than a fixed window shall open and close easily and shall be capable of being held in either position by window hardware.",CAAH_EXT_OPNWIN,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
50,52,1,EXTOVEXT,exterior of bldgs – overhang extensions,"Section 16.24.340 (I) – Overhang Extensions: All overhang extensions including, but not limited to canopies, marquees, signs, metal awnings, fire escapes, standpipes, and exhaust ducts shall be maintained in good repair and shall be properly anchored so as to be in a sound condition. ",CAAH_EXT_OVEXT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
51,53,1,EXTPIDNRES,exterior of bldgs – premises id nonres,"Section 16.24.340 (C)(2) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Nonresidential property shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIDNRES,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
52,54,1,EXTPIMFAM,exterior of bldg – premises id multi-fam,"Section 16.24.340 (C)(3) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Multifamily buildings shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",CAAH_EXT_PIMFAM,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
53,55,1,EXTPOR,exterior of buildings - porches,"Section 16.24.340 (J) – Porches: Every exterior porch and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_PORC,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
54,56,1,EXTPRKAR,exterior prop area – designated parking,Section 16.24.330 (K)(3) – Vehicle Parking Area: Any paved or graveled parking area for private residential property shall not exceed twenty-five percent of the total lot area. ,CAAH_EXT_PRKAR,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,vehicle,,,,,propvehicle
55,57,1,EXTPTMET,exterior of bldgs – treatment metal sur,Section 16.24.340 (B) – Protective Treatment (Metal Surfaces): All exterior surfaces shall be maintained in good condition. All metal surfaces subject to rust or corrosion shall be coated to inhibit such rust and corrosion and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion.,CAAH_EXT_PTMET,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
56,58,1,EXTPTSID,exterior of bldgs – treatment (siding),"Section 16.24.340 (B) – Protective Treatment (Siding): All exterior surfaces shall be maintained in good condition. All siding and masonry joints, as well as those between the building envelope and the perimeter of windows, doors, and skylights, shall be maintained weather resistant and water tight.",CAAH_EXT_PTSID,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
57,59,1,EXTPTWD,exterior of bldgs – pro treatment (wood),"Section 16.24.340 (B) – Protective Treatment (Wood): All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim balconies, decks and fences shall be maintained in good condition. Exterior wood surfaces, other than decay resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment.",CAAH_EXT_PTWD,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
58,60,1,EXTREPAIR,exterior repair – general,"Section 16.24.340 – Exterior Repair: The exterior of a building or structure shall be maintained in good repair, structurally sound, and in a clean and sanitary condition so as not to pose a threat to the public health, safety, or welfare. ",CAAH_EXTERIOR_REPAIR,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
59,61,1,EXTROD,exterior prop area – rodent harborage,"Section 16.24.330 (F) – Rodent Harborage: All buildings, structures and exterior property shall be kept free from rodent harborage and infestation and conditions that promote or support rodent harborage and infestation. ",CAAH_EXT_ROD,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
60,62,1,EXTROFDRAN,exterior of bldgs – roofs– drainage sys,Section 16.24.340 (G) – Roof Drainage: Roof drainage shall be adequate to prevent dampness or deterioration in the walls or interior portion of the building or structure.,CAAH_EXT_ROFDRAN,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,water,,,,,,,,,,,propwater
61,63,1,EXTROFSYS,exterior of bldgs – roofs – roof system,"Section 16.24.340 (G) – Roof System: The roof and flashing shall be sound, tight, and not have defects that admit rain.",CAAH_EXT_ROFSYS,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
62,64,1,EXTSAN,exterior prop area – sanitation,"Section 16.24.330 (A) – Sanitation: All exterior property and premises shall be maintained in a safe, clean, and sanitary condition. The occupant of a building, structure or premises, or part thereof, shall keel that part of the exterior property and premises that such occupant occupies or controls in a safe, clean, and sanitary condition.",CAAH_EXT_SAN,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
63,65,1,EXTSCRENNR,exterior of bldgs  insect screens nonres,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of food preparation areas, food service areas, or any areas where products to be included or utilized in food for human consumption are processed, manufactured, packaged or stored shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch.",CAAH_EXT_INSSCNRES,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
64,66,1,EXTSCRNRES,exterior of bldgs – insect screens res,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of habitable rooms shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch. ",CAAH_EXT_INSSCRES,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
65,67,1,EXTSDWLK,exterior prop area – sidewalks,"Section 16.24.330 (D) – Sidewalks and Driveways: All sidewalks, walkways, stairs, driveways, parking spaces, and similar areas shall be kept in a proper state of repair, shall be maintained free from hazardous conditions, and shall be kept in a safe, clean, and sanitary condition.",CAAH_EXT_SDWLK,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
66,68,1,EXTSTA,exterior of buildings – stairways,"Section 16.24.340 (J) – Stairways: Every exterior stairway and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.  ",CAAH_EXT_STAIRW,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
67,69,1,EXTSTMEM,exterior of bldgs – structural members,"Section 16.24.340 (D) – Structural Members: All structural members shall be maintained free from deterioration, and shall be capable of safely supporting the imposed dead and live loads.",CAAH_EXT_STMEM,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
68,70,1,EXTSWIM,exterior prop area – swimming pools,"Section 16.24.330 (J) – Swimming Pools: Swimming pools shall be maintained in a safe, clean, and sanitary condition, and in good repair.",CAAH_EXT_SWIM,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
69,71,1,EXTTRLS,exterior prop area – trailers watercraft,"Section 16.24.330 (P) – Trailers and Watercraft: No trailer or watercraft located on private single family or two-family residential property shall be stored in the front yard of the property, but shall be stored on a paved or graveled driveway, or behind the front façade of the residential structure.",CAAH_EXT_TRLS,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,vehicle,,,,,propvehicle
70,72,1,EXTVEHCON,exterior prop area – veh – inop/unlc,Section 16.24.330 (K)(1) – Motor Vehicles (Condition): No inoperable or currently unregistered motor vehicle shall be openly parked or stored on any premises within the area of the metropolitan government.,CAAH_EXT_VEHCON,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
71,73,1,EXTVEHPT,exterior prop area – vehicle painting,Section 16.24.330 (K)(4) – Vehicle Painting: Painting of motor vehicles is prohibited unless conducted inside an approved spray booth.,CAAH_EXT_VEHPT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,vehicle,,,,,propvehicle
72,74,1,EXTVEHRP,exterior prop area – veh – dis/repair,"Section 16.24.330 (K)(1) – Motor Vehicles (Repair): No vehicle shall be at any time in a state of major disassembly or disrepair, nor shall it be in the process of being stripped or dismantled, nor shall it undergo a major overhaul, including body work, on any private property (residential).",CAAH_EXT_VEHRP,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
73,75,1,EXTWEED,exterior prop area – high weeds,Section 16.24.330 (E) – High Weeds: All premises and exterior property shall be maintained free from weeds in excess of twelve inches.,CAAH_EXT_WEED,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,overgrowth,,,,,,propovergrowth
74,76,1,EXTWINDDRF,"ext of bldgs – wind, skylit door frames","Section 16.24.340 (M) – Window, Skylight and Door Frames: Every window, skylight, door and frame shall be maintained in good condition.",CAAH_EXT_WINDDRF,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,,,,,,,misc,misc
