,VIOLATION_TEXT,Unnamed: 14
39,"Section 16.24.330 (G) – Exhaust Vents: Exhaust pipes, ducts, conductors, fans, vents, or blowers shall not discharge gases, steam, vapor, hot air, crease, smoke, odors, or other gaseous or particulate wastes directly upon abutting or adjacent public or private property or that of another tenant.",
40,"Section 16.24.340 (F) – Exterior Walls: All exterior walls shall be free from holes, breaks, and loose or rotting materials, and shall be maintained in a weatherproof and properly coated where required to prevent deterioration.",
41,Section 16.24.340 (E) – Foundation Walls: All foundation walls shall be maintained plump and free from open cracks and break and shall be kept in such condition so as to prevent the entry of rodents and other pests.,
42,"Section 16.24.330 (M) – Fence Maintenance: Metal fences shall consist of materials manufactured and/or treated in a manner to prevent rust or corrosion. Wood fences shall be painted, stained or preserved in a manner to maintain the fence in food structural condition. This is not limited to the replacement of broken boards or sections and preventing paint from peeling.",
43,"Section 16.24.330 (L) – Fencing Materials: Fencing shall be either woven wire or chain link, wrought iron, wood, vinyl, steel or aluminum slats, masonry consisting of brick, concrete block, split-face block, dry-stack stones, or stones and mortar;  Plastic or other approved synthetic material, or decorative-type split rail or dry-stack stone used for decorative fences.",
44,"Section 16.24.330 (I) – Gates: gates which are required to be self-closing and self-latching, in accordance with the Building Code shall be maintained such that the gate will positively close and latch when released from a still position of six inches from the gatepost.",
45,"Section 16.24.340 (S) – Guards for Basement Windows: Every basement or cellar window, that is openable, shall be supplied with screens of standard-size mesh, or other approved protection against the entry of rodents.",
46,Section 16.24.340 (N) – Glazing: All glazing materials shall be maintained free from cracks and holes.,
47,"Section 16.24.330 (C) – Grading Required: All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any building or structure located thereon.",
48,"Section 16.24.340 (G) – Roof Gutters: Roof drains, gutters, and downspouts shall be maintained in good repair and free from obstructions. Water shall not be discharged in a manner that creates a public nuisance.",
49,Section 16.24.340 (L) – Handrails and Guards: Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.,
50,"Section 16.24.340 (O) – Openable Windows: Every window, other than a fixed window shall open and close easily and shall be capable of being held in either position by window hardware.",
51,"Section 16.24.340 (I) – Overhang Extensions: All overhang extensions including, but not limited to canopies, marquees, signs, metal awnings, fire escapes, standpipes, and exhaust ducts shall be maintained in good repair and shall be properly anchored so as to be in a sound condition. ",
52,"Section 16.24.340 (C)(2) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Nonresidential property shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",
53,"Section 16.24.340 (C)(3) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Multifamily buildings shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property.",
54,"Section 16.24.340 (J) – Porches: Every exterior porch and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",
55,Section 16.24.330 (K)(3) – Vehicle Parking Area: Any paved or graveled parking area for private residential property shall not exceed twenty-five percent of the total lot area. ,
56,Section 16.24.340 (B) – Protective Treatment (Metal Surfaces): All exterior surfaces shall be maintained in good condition. All metal surfaces subject to rust or corrosion shall be coated to inhibit such rust and corrosion and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion.,
57,"Section 16.24.340 (B) – Protective Treatment (Siding): All exterior surfaces shall be maintained in good condition. All siding and masonry joints, as well as those between the building envelope and the perimeter of windows, doors, and skylights, shall be maintained weather resistant and water tight.",
58,"Section 16.24.340 (B) – Protective Treatment (Wood): All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim balconies, decks and fences shall be maintained in good condition. Exterior wood surfaces, other than decay resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment.",
59,"Section 16.24.340 – Exterior Repair: The exterior of a building or structure shall be maintained in good repair, structurally sound, and in a clean and sanitary condition so as not to pose a threat to the public health, safety, or welfare. ",
60,"Section 16.24.330 (F) – Rodent Harborage: All buildings, structures and exterior property shall be kept free from rodent harborage and infestation and conditions that promote or support rodent harborage and infestation. ",
61,Section 16.24.340 (G) – Roof Drainage: Roof drainage shall be adequate to prevent dampness or deterioration in the walls or interior portion of the building or structure.,
62,"Section 16.24.340 (G) – Roof System: The roof and flashing shall be sound, tight, and not have defects that admit rain.",
63,"Section 16.24.330 (A) – Sanitation: All exterior property and premises shall be maintained in a safe, clean, and sanitary condition. The occupant of a building, structure or premises, or part thereof, shall keel that part of the exterior property and premises that such occupant occupies or controls in a safe, clean, and sanitary condition.",
64,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of food preparation areas, food service areas, or any areas where products to be included or utilized in food for human consumption are processed, manufactured, packaged or stored shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch.",
65,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of habitable rooms shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch. ",
66,"Section 16.24.330 (D) – Sidewalks and Driveways: All sidewalks, walkways, stairs, driveways, parking spaces, and similar areas shall be kept in a proper state of repair, shall be maintained free from hazardous conditions, and shall be kept in a safe, clean, and sanitary condition.",
67,"Section 16.24.340 (J) – Stairways: Every exterior stairway and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.  ",
68,"Section 16.24.340 (D) – Structural Members: All structural members shall be maintained free from deterioration, and shall be capable of safely supporting the imposed dead and live loads.",
69,"Section 16.24.330 (J) – Swimming Pools: Swimming pools shall be maintained in a safe, clean, and sanitary condition, and in good repair.",
70,"Section 16.24.330 (P) – Trailers and Watercraft: No trailer or watercraft located on private single family or two-family residential property shall be stored in the front yard of the property, but shall be stored on a paved or graveled driveway, or behind the front façade of the residential structure.",
71,Section 16.24.330 (K)(1) – Motor Vehicles (Condition): No inoperable or currently unregistered motor vehicle shall be openly parked or stored on any premises within the area of the metropolitan government.,
72,Section 16.24.330 (K)(4) – Vehicle Painting: Painting of motor vehicles is prohibited unless conducted inside an approved spray booth.,
73,"Section 16.24.330 (K)(1) – Motor Vehicles (Repair): No vehicle shall be at any time in a state of major disassembly or disrepair, nor shall it be in the process of being stripped or dismantled, nor shall it undergo a major overhaul, including body work, on any private property (residential).",
74,Section 16.24.330 (E) – High Weeds: All premises and exterior property shall be maintained free from weeds in excess of twelve inches.,
75,"Section 16.24.340 (M) – Window, Skylight and Door Frames: Every window, skylight, door and frame shall be maintained in good condition.",
76,Section 17.12.040 (E) 26(a) - Screening Walls or Fences (Off Right-of-way): Greatest vertical exposure (privacy or opaque type fences) shall be two and one half feet in height within ten feet of a street right-of-way.,
77,Section 17.12.040 (E) 26(b) - Screening Walls or Fences (Front Setback) Greatest vertical exposure shall be six feet in height within the remainder of the required front setback.,
78,Section 17.12.040 (E) 26(c) - Screening Walls or Fences (Side and Rear Setback) Greatest vertical exposure shall be eight feet in height within the required side or rear setback or within any platted common open space.,
79,"Section 17.12.040 (E) 26(a) - Screening Walls or Fences (Off Right-of-way): Greatest vertical exposure for open fences, such as chain link or those of a similar nature are permitted to be six feet in height.",
80,"Section 16.24.530 (H) - Locked Doors: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys, tools, or special knowledge or effort.",
81,"Section 16.24.550 (B) - 1a & b Installation: Existing one and two-family dwellings -  outside each separate sleeping room, in the immediate vicinity of the sleeping room and  on each additional story of the dwelling unit including basements.",
82,"Section 16.24.530 (B) - Emergency Escape and Rescue Openings: Basements with habitable rooms and every sleeping room shall have at least one openable emergency escape and rescue window or exterior door opening.  Where openings are provided as a means of escape and rescue, they shall have a sill height of not more than forty-four inches.",
83,"Section 16.24.530 (A) - General: A safe, continuous, and unobstructed means of egress shall be provided from any point in a building or structure to the public way, in accordance with the requirements of the building code and fire code as adopted by the metropolitan government.",
84,Section 16.24.530 (C) - Minimum Net Clear Opening: All emergency escape and rescue openings shall have a minimum net clear opening of four square feet.,
85,Section 16.24.530 (D) - Minimum Net Clear Opening Height: All emergency escape and rescue openings shall have a minimum net clear opening height of twenty-four inches.,
86,Section 16.24.530 (E) - Minimum Net Clear Opening Width: All emergency escape and rescue openings shall have a minimum net clear opening width of twenty inches.,
87,"Section 16.24.530 (F) - Operation: Required emergency escape and rescue openings shall be operational from the inside of the room or space without the use of keys or special tools, knowledge, or effort.",
88,Section 16.24.550 (A) - Smoke Detectors: Existing Group R occupancies not already provided with single-station smoke alarms/detectors shall be provided with approved single-station smoke alarms/detectors,
89,"Section 17.16.250 (B) - Garage Sale: Within any calendar year, a maximum of two garage sale events shall occur per residence. ",
90,"Section 16.24.340 (T) – Defacement of Property: No person shall willfully or wantonly damage, mutilate, or deface any exterior surface of any building or structure, located on any private or public property, by placing thereon any marking, carving, or graffiti. It shall be the duty of the owner of the building, structure, and or real property on which the building or structure is located to restore said surface to an approved state of maintenance and repair.",
91,"Section 10.20.240 - Hazardous, pathogenic and radioactive waste: All Hazardous waste shall be disposed of by the entity generating such waste under such methods and conditions as shall be approved by the director. Any such entity may apply for a special permit as a private collector or may dispose of hazardous waste by licensed private collectors.",
92,"Section 10.20.240 - Hazardous, pathogenic and radioactive waste: All pathogenic and radioactive waste shall be disposed of by the entity generating such waste under such conditions as shall be approved by the metropolitan health department and the state department of environment and conservation. ",
93,Section 16.24-470 (A) - Heating Required Heating facilities shall be provided in buildings and structures as required by this section.,
94,"Section 16.24.470 (B) - Heating (Residential) Dwellings shall be provided with heating facilities capable of maintaining a room temperature of sixty-five degrees Fahrenheit in all habitable rooms, bathrooms, and toilet rooms based on a winter outdoor design temperature of fourteen degrees Fahrenheit, in accordance with Appendix D of the 2000 Edition of the Standard Plumbing Code. ",
95,"Section 16.24.470 (C) - Heat (Supply) Every owner, lessee, or operator of any building or structure who rents, leases, or lets one or more dwelling units, rooming units, dormitory rooms, or guestrooms on terms, either expressed or implied, to furnish heat to the occupants thereof shall supply heat during the period from October 1st to April 30th to maintain a temperature of not less than sixty-five degrees Fahrenheit in all habitable rooms, bathrooms, and toilet rooms.",
96,"Section 16.24.470 (D) - Heat (Work Spaces) Indoor occupiable work spaces shall be supplied with heat during the period from October 1st to April 30th to maintain a temperature of not less than sixty-five degrees Fahrenheit, when the spaces are occupied.",
97,Section 17.16.250 (C) - Home Occupation (Permit): A home occupation shall be considered an accessory use to a residence [requires a permit with conditions],
98,"Section 17.16.250 (C) - Home Occupation (Conditions): A home occupation shall be considered an accessory use to a residence [permitted under certain conditions, one or more conditions not met]",
99,"Section 10.36.020 - Sanitation requirements: Every dwelling and every part thereof shall be kept clean and free from any accumulation of dirt, filth, rubbish, garbage or similar matter, and shall be kept free from vermin or rodent infestation. All yards, lawns and courts shall be similarly kept clean and free from rodent infestation. It shall be the duty of each occupant of a dwelling unit to keep in a clean condition that portion of the property which he occupies or over which he has control.",
100,"Section 10.36.030 - Vacation of buildings: Whenever it is found by the chief medical director that the remedies available to the agency of the metropolitan government having primary responsibility in the field of housing are inadequate to protect an existing or threatened menace to the public health, and that a dwelling is unfit for human habitation or dangerous to life or health by reason of the existence on the premises of any condition likely to cause sickness or injury among the occupants of such dwelling, or for any other causes affecting the public health, the chief medical director may issue an order requiring such dwelling to be vacated.",
101,"Section 16.24.350 (A) – Building Interior (General): The interior of a building or structure and any equipment therein shall be maintained in good repair, structurally sound, and in an otherwise clean and sanitary condition. Occupants shall keep that part of the building or structure that they occupy or control in a clean and sanitary condition. Every owner of a building or structure containing a rooming house, a hotel, a dormitory, two or more dwelling units, or two or more nonresidential occupancies, shall maintain, in a clean and sanitary condition, the shared or public areas of the structure and exterior property.",
102,"Section 16.24.350 (C) - Interior Surfaces. All interior surfaces, including windows and doors, shall be maintained in good, clean and sanitary condition. Peeling, chipping, flaking, or abraded paint shall be repaired, removed, or covered. Cracked or loose plaster, decayed wood, and other defective surface conditions shall be corrected.",
103,Section 16.24.350 (E) - Handrails and Guards. Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.,
104,"Section 16.24.350 (F) - Interior Doors. Every interior door shall fit reasonably well within its frame and shall be capable of being opened and closed by being properly and securely attached to jambs, headers, or tracks as intended by the manufacturer of the attachment hardware.",
105,"Section 16.24.350 (D) - Stairs and Walking Surfaces. Every stair, ramp, landing, balcony, porch, deck or other walking surface shall be maintained in sound condition and in good repair.",
106,"Tennessee Code Annotated (TCA) 66-28-101 - Failure to register as a landlord.  Each landlord of one (1) or more dwelling units within Davidson County to pay a $10 registration fee and furnish the following information to the Department of Codes (A) the landlord's name, address and telephone number, or the name, address and telephone number of the landlord's agent; and (B) list the street address and unit number, as appropriate, for each dwelling unit that the landlord owns, leases, or subleases or has the right to own, lease, or sublease.",
107,"Section 16.24.380 (B) - Light (Common Areas) Every common hall and stairway in residential occupancies, other than in one- and two-family dwellings, shall be lighted at all times with at least a sixty watt standard incandescent light bulb for each two hundred square feet of floor area of said common hall or stairway, or equivalent illumination, provided that the spacing between lights shall not be greater than thirty feet. In other than residential occupancies, means of egress, including exterior means of egress stairways, shall be illuminated at all times with a minimum of one foot candle at floors, landings, and treads.",
108,Section 17.28.100 (A) - Lighting (Emission): All site lighting shall be shielded so that substantially all directly emitted light falls within the property line. ,
109,"Section 16.24.380 (A) - Light (Habitable Spaces) In residential occupancies, every habitable space shall have at least one window of approved size facing directly to the outdoors or to a court. The minimum total glazed area for every habitable space shall be eight percent of the floor area of such room. Wherever a wall or other obstructions face a window of a habitable space and such obstruction is located less than three feet from the window and extends to a level above that of the ceiling of the habitable space, such window shall not be deemed to face directly to the outdoors nor to a court and shall not be included as contributing to the required minimum total window area for the habitable space.",
110,Section 17.28.100 (A) - Lighting (Max Level): No illumination in excess of one-half foot candle shall be permitted across the boundary of any adjacent residential property or public street.,
111,"Section 16.24.380 (C) - Light (Other Spaces) All other spaces in residential and nonresidential buildings and structures shall be provided with natural or artificial light sufficient to permit the maintenance of sanitary conditions, the safe occupancy thereof, and the safe utilization of the appliances, equipment, and fixtures.",
112,"Section 10.24.060 - Litter on public places - Responsibililty of citzens: No person shall sweep into or deposit in any gutter, street, or any other public place within the area of metropolitan government, the accumulation of litter from any building or lot or from any public or private sidewalk or driveway. Persons owning or occupying property shall keep the sidewalk in front of their premises free of litter.",
113,"Section 10.24.050 - Litter on business premises - Responsibility of owners: No person owning or occupying a place of business shall sweep into or deposit in any gutter, street or other public place within the area of metropolitan government the accumulation of litter from any building or lot or from any public or private sidewalk or driveway. Persons owning or occupying places of business within the area of metropolitan government shall keep the sidewalk in front of their business premises free of litter.",
114,"Section 10.24.030 - Handbills - Distribution in public places: No person shall throw or deposit any commercial or noncommercial handbill in or upon any sidewalk, street or other public place within the area of metropolitan government. Nor shall any person hand out or distribute or sell any commercial handbill in any public place. Provided, however, that it is not unlawful on any sidewalk, street, or other public place within the area of metropolitan government for any person to hand out or distribute, without charge to the receiver thereof, any commercial or noncommercial handbill to any person willing to accept it.",
115,"Section 10.24.040 - Handbills-Distribution on vehicles: No person shall throw or deposit any commercial or noncommercial handbill in or upon any vehicle. Provided, however, that it is not unlawful in any public place for a person to hand out or distribute to the receiver thereof, a commercial or noncommercial handbill to any occupant of a vehicle who is willing to accept it.",
116,"Section 10.24.020 - Posting notices prohibited when: No person shall post or affix any notice, poster or other paper or device, calculated to attract the attention of the public to any public lamppost, public utility pole or public shade tree, or upon any public structure or building, except as may be authorized or required by law.",
117,"Section 10.24.110 - Proper placement in receptacles required: Persons placing litter in public receptacles or in authorized private receptacles shall do so in such a manner as to prevent it from being carried or deposited by the elements upon any street, sidewalk or other public place or upon private property.",
118,"Section 10.24.070 - Litter on private property - Responsibility of owners: The owner or person in control of any private property shall at all times maintain the premises free of litter. Provided, however, that this section shall not prohibit the storage of litter in authorized private receptacles for collection.",
119,"Section 10.24.080 - Litter on occupied private property: No person shall throw or deposit litter on any occupied private property within the area of metropolitan government, whether owned by such person or not, except that the owner or person in control of private property may maintain authorized private receptacles for collection in such a manner that litter will be prevented from being carried or deposited by the elements upon any street, sidewalk or other public place or upon any private property.",
120,Section 10.24.140 - Litter on vacant lots: No person shall throw or deposit litter on any open or vacant private property within the area of metropolitan government whether owned by such person or not.,
121,"Section 10.24.150 - Litter from vehicles - Liability of drivers: No person, while a driver or passenger in a vehicle, shall throw or deposit litter upon any street or other public place within the area of metropolitan government, or upon private property. The driver of a vehicle from which litter is thrown shall be deemed prima facie liable for any litter thrown from the vehicle.",
122,"Section 10.24.160 - Litter from vehicle loads and tires: No person shall drive or move any truck or other vehicle within the area of metropolitan government unless such vehicle is so constructed or loaded as to prevent any load, contents or litter from being blown or deposited upon any street, alley or other public place. Nor shall any person drive or move any vehicle or truck within the area of metropolitan government, the wheels or tires of which carry onto or deposit in any street, alley or other public place, mud, dirt, sticky substances, litter or foreign matter of any kind, sufficient in amount to create a danger to the public in this full utilization of such street, alley or other public place.",
123,"Section 10.24.130 - Litter in bodies of water: No person shall throw or deposit litter in any fountain, pond, lake, stream, bay or any other body of water in a park or elsewhere within the area of metropolitan government.",
124,Section 16.24.480 (B) - Mechanical Equipment (Combustion Products) All fuel-burning equipment and appliances shall be connected to an approved chimney or vent.,
125,"Section 16.24.480 (A) - Mechanical Equipment (Appliances) All mechanical appliances, fireplaces, solid fuel-burning appliances, cooking appliances, and water heating appliances shall be properly installed and maintained in a safe working condition and shall be capable of performing the intended function.",
126,"Ordinance BL2006-1283 - Mobile Vendor: The peddling, vending, selling, display, or offer for sale of goods, wares or merchandise at a temporary location and/or on a temporary or occassional basis [is prohibited].",
127,Section 17.28.090 (C) - Noise Levels: Sound level of continuous and intermittent noise exceeds maximum sound levels across lot lines or district boundaries.,
128,"Section 10.20.120 - Nusiance Declared: It is unlawful for any person to keep, cause to be kept, or allow the keeping of garbage or rubbish on any premises within the area of the metropolitan government in such manner that it will become offensive or deleterious to health or likely to cause disease, and the same is declared a public nuisance. ",
129,Section 16.24.400 (F) - Occupancy (Access to Bedrooms) Bedrooms shall not constitute the only means of access to other bedrooms or habitable spaces and shall not serve as the only means of egress from other habitable spaces.,
130,Section 16.24.400 (D) - Occupancy (Bedroom Requirements) Every bedroom shall comply with the requirements of Sections 16.24.400(E) through 16.24.400(I),
131,"Section 16.24.400 (A) - Occupancy Limits (Privacy) Dwelling units, hotel units, rooming units, and dormitory units shall be arranged to provide privacy and be separate from other adjoining spaces.",
132,Section 16.24.400 (J) - Occupancy (Overcrowding) Dwelling units shall not be occupied by more occupants than are permitted by the minimum area requirements of Table 16.24.400.,
133,"Section 16.24.400 (I) - Occupancy (Other Requirements) Bedrooms shall comply with the applicable provisions of this chapter including, but not limited to, the light, ventilation, room area, ceiling height and room width requirements; the plumbing facilities and water-heating facilities requirements; the heating facilities, electrical receptacle requirements; and the smoke detector and emergency escape requirements.",
134,Section 16.24.400 (H) - Occupancy Prohibited Kitchens and non-habitable spaces shall not be used for sleeping purposes.,
135,"Section 16.24.400 (C) - Occupancy (Minimum Ceiling Height) Habitable spaces, hallways, corridors, laundry areas, bathrooms, toilet rooms and habitable basement areas shall have a clear ceiling height of not less than seven feet.",
136,"Section 16.34.400 (B) - Occupancy (Minimum Room Width) A habitable space, other than a kitchen, shall not be less than seven feet in any plan dimension. Kitchens shall have a clear passageway of not less than three feet between counter fronts and appliances or counter fronts and walls.",
137,"Section 16.24.400 (E) - Occupancy (Sleeping Rooms) Every bedroom occupied by one person shall contain at least seventy square feet of floor area, and every bedroom occupied by more than one person shall contain at least fifty square feet of floor area for each occupant thereof.",
138,Section 16.24.400 (G) - Occupancy (Water Closet Access) Every bedroom shall have access to at least one water closet and one lavatory without passing through another bedroom. Every bedroom in a dwelling unit shall have access to at least one water closet and lavatory located in the same story as the bedroom or an adjacent story.,
139,"Section 16.24.330 (B) – Open Storage: It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of any inoperable, unlicensed, or unregistered motor vehicle; appliance; building material, including glass, brick, stone, wood, or metal; rubbish, tires; automotive parts; or debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items.",
140,"Section 16.24.330 (B) – Open Storage (Debris): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items.",
