,3212.0
(duplex),1.0
(emission),6.0
"(emission),lighting",16.0
(energy,1.0
(exposed,1.0
"(flags,",1.0
(ford,1.0
(former,1.0
(four,1.0
(from,1.0
(front,26.0
(front),1.0
(front).open,1.0
(furniture,7.0
(furniture),3.0
(furniture);,1.0
(furniture)exterior,1.0
(furniture)high,2.0
(furniture)open,5.0
"(furniture,",2.0
(galaxy,1.0
(garage),1.0
(gmc,1.0
(go,1.0
(going,1.0
(gold,1.0
(gravel,1.0
(green,2.0
(grey,1.0
(grill),1.0
(gutters),1.0
(gutters)exterior,1.0
(half,1.0
(has,1.0
(he,1.0
(health,2.0
(herrero,1.0
(his,1.0
(home,1.0
(homeaway)strp,1.0
(homeless,1.0
(honda,1.0
(horses,1.0
(hot,1.0
(hotline,5.0
(i,2.0
(i),1.0
(imv,1.0
(in,4.0
(inside,1.0
(it,1.0
(items,1.0
(jeep)unlic,1.0
(js)commercial,1.0
(js)high,1.0
(js)open,2.0
(js)parking,1.0
(js)use,1.0
(k),1.0
(kayak,1.0
(landscaping/lawn,1.0
(laundry,1.0
(lawn,3.0
(led),189.0
(leon's,1.0
(lexus,1.0
(lic#,1.0
(license,1.0
(little,1.0
(lori,1.0
(mailbox,1.0
(main,1.0
(maroon,1.0
(martin,1.0
(mattress,8.0
(mattress),1.0
(mattress)exterior,3.0
(mattress)high,2.0
(mattress)open,7.0
"(mattress,",1.0
(mattresses,6.0
(mattresses),1.0
(mattresses)open,2.0
"(mattresses,",2.0
(mattresses/bed)open,1.0
(max,19.0
(may,1.0
(maybe,1.0
(mercedes,1.0
(metro,1.0
(mexican)prohibited,1.0
(missing,1.0
(more,1.0
(motion),3.0
"(motion),",1.0
(motion).electronic,4.0
(motion)electronic,5.0
(motor,1.0
(motorcycle),2.0
(multiple,1.0
(mur-ci,1.0
(must,1.0
(need,1.0
(needs,1.0
(new)signs,1.0
(next,4.0
(night,1.0
(night/weekend,1.0
(nighttime,1.0
(no,4.0
(noor,1.0
(not,2.0
(now,1.0
(nursing,1.0
(old,5.0
(on,4.0
(one,2.0
(online,2.0
(only,2.0
(op),1.0
"(op),fire",1.0
(opaque),18.0
"(opaque),fence",15.0
"(opaque),high",1.0
"(opaque),open",1.0
"(opaque),parking",1.0
"(opaque),use",1.0
(open,1.0
(open),2.0
"(open),fence",12.0
"(open),proper",1.0
"(open),repair",1.0
(orange)high,1.0
(original,2.0
(originally,10.0
(os,3.0
(over,1.0
(overstuffed,1.0
(pallets,2.0
(pallets)open,1.0
(pancho,1.0
(part,1.0
(permit,1.0
(pharmacy),1.0
(picked,6.0
(pickup,1.0
(piles,2.0
(pinnacle,1.0
(pizza,1.0
(plaza,1.0
(possible,2.0
(possibly,3.0
(pot,3.0
(previous,2.0
(rear,1.0
(recliner,1.0
(recliner)open,1.0
(recliners)open,1.0
(recording,1.0
(red,4.0
(refrigerator),1.0
(reinstall,1.0
(repair,1.0
(request,1.0
(right,1.0
(robinhood,1.0
"(rodeo,",1.0
(roof,1.0
"(roof,",1.0
(rv),1.0
(rv).,1.0
(rv)exterior,1.0
(rv)parking,1.0
(same,1.0
"(scrolling),",1.0
(see,4.0
(sfh)use,1.0
(sheep)use,2.0
(shoneys)signs,1.0
(side,5.0
(siding,1.0
(siding),21.0
"(siding),exterior",56.0
"(siding),floor",1.0
"(siding),graffiti",1.0
"(siding),graffiti,open",1.0
"(siding),high",3.0
"(siding),missing",1.0
"(siding),open",14.0
"(siding),signs",1.0
(siding)exterior,3.0
(sign,1.0
(silver,1.0
(silver/gray,2.0
(single,1.0
(sitting,1.0
(six,1.0
(sofa).,1.0
(sofa)exterior,1.0
(spanish,1.0
(spray,1.0
(stable),1.0
(stereo,1.0
(storm,1.0
(stove)open,1.0
(stpr)use,1.0
(street,1.0
(suggested,1.0
(supposedly,1.0
(supposedly)exterior,1.0
(suv)vehicle,1.0
(swifty)open,1.0
(t.v.)exterior,1.0
(taco,1.0
(tag,1.0
(taken,1.0
(tenant,1.0
(the,2.0
(they,1.0
(think,1.0
(this,1.0
(timing,16.0
(timing&motion),10.0
(timing&motion)electronic,6.0
(timing),7.0
"(timing),",2.0
(timing).electronic,9.0
(timing)electronic,3.0
"(timing,",1.0
(tire,2.0
(tires,1.0
(tires),1.0
(tires)open,2.0
(tn,1.0
(tobacco,1.0
(told,1.0
(too,1.0
(tour,1.0
(tractor,1.0
(trailer),1.0
(trash,6.0
(tree,3.0
(trim,2.0
(trim)exterior,1.0
(trim)high,1.0
(trk0,1.0
(truck),1.0
(truck)exterior,1.0
(trucks),1.0
(tupperware,1.0
(tv,2.0
(tv)open,1.0
(two,1.0
(two)vehicle,1.0
(two-toned,1.0
(unit,1.0
(unlicsened)vehicle,2.0
(unsure,1.0
(untagged/,1.0
(use)use,1.0
(using,4.0
(vacant,2.0
(vacant)boarding,1.0
(van,1.0
(van)exterior,1.0
(vehicle,33.0
(vicious,1.0
(violations,1.0
(warning-pitbulls,1.0
(washer,1.0
(water,2.0
(wedding,2.0
(weeds),1.0
(when,1.0
(which,1.0
(white,8.0
(white),1.0
(white).,1.0
(with,1.0
(woman,1.0
(wood,1.0
(wood),42.0
"(wood),exterior",231.0
"(wood),graffiti,open",1.0
"(wood),high",12.0
"(wood),open",21.0
"(wood),rodents,",1.0
"(wood),rusted",1.0
"(wood),smoke",1.0
"(wood),swimming",1.0
(worn,1.0
(worse,1.0
(wrecked,2.0
(wrecked),2.0
(wrecked)unlic,1.0
(wrecker)exterior,1.0
(wrecker)use,1.0
(yard,1.0
"(yard),",1.0
(yard)exterior,2.0
(ytires)open,1.0
(zoning),1.0
),2.0
)high,1.0
)open,1.0
*night,1.0
+,1.0
",",36.0
",trash",2.0
-,6354.0
--,4.0
-accessory,1.0
-amv,1.0
-covered,1.0
-dark,1.0
-exterior,2.0
-junk,2.0
"-junk,",1.0
-maroon,1.0
-next,1.0
-old,1.0
-open,2.0
-parking,1.0
-premises,1.0
-tow,1.0
-use,1.0
-vacant,1.0
.,5.0
.......accessory,1.0
.see,1.0
/,8385.0
//,1.0
///,2.0
///signssigns,1.0
///trashopen,1.0
//code,1.0
/debrisopen,1.0
/eaves,1.0
/jtdhigh,1.0
/needs,1.0
/parking,1.0
/parking/imvcommercial,1.0
/pressure,6.0
/trashopen,1.0
/weedshigh,1.0
0,3.0
01/05/15,1.0
0367)vehicle,1.0
0377sbvehicle,1.0
06/17,1.0
08/01/17.garage,1.0
087-hxvvehicle,1.0
09208028000high,1.0
"09208028900,",1.0
"09212021300,",1.0
09212021500high,1.0
1,11.0
1-2,2.0
1.5,1.0
1/2,3.0
1/2high,1.0
10,12.0
10+,2.0
10.,2.0
100,7.0
1000's,1.0
1003,3.0
1007,1.0
1008,1.0
101,4.0
"101,",1.0
101.,1.0
1011,1.0
1014,1.0
1016,1.0
1016.,1.0
"102,",1.0
1022,1.0
1025a,1.0
103,2.0
"1030,",1.0
104,1.0
1044,1.0
105,4.0
105)open,1.0
1051,1.0
105signs,2.0
106,2.0
106.,1.0
107,3.0
107(metro,1.0
1088,1.0
109,1.0
1092dilapidated,1.0
10th,1.0
10th.,1.0
11-2-17excessive,1.0
11/23/16plumbing,1.0
110,2.0
1100,1.0
1104,1.0
1117.,1.0
1119,1.0
111electronic,1.0
112,1.0
112.building,1.0
1132,1.0
114,1.0
115,2.0
115open,1.0
1166open,1.0
117.open,1.0
118.,1.0
119open,1.0
11accessory,1.0
11th,1.0
12,13.0
12',1.0
12+++,1.0
"12,",1.0
12/21/16),1.0
12/22/16,1.0
1200,1.0
1209,1.0
1212,1.0
1214,3.0
1216high,2.0
1217,1.0
1218,1.0
122,2.0
1235,1.0
1239,1.0
126signs,1.0
12exterior,1.0
12th,2.0
12unlic,1.0
12x16building,1.0
13,2.0
1300.parking,1.0
1301,1.0
1302,2.0
1305,1.0
131,1.0
134;,1.0
13thvehicle,1.0
13use,1.0
14,1.0
14)use,1.0
"14,",1.0
14.93,1.0
1407,1.0
1408,1.0
1410,1.0
1414,1.0
1414high,1.0
1417,1.0
1418,2.0
142.,1.0
1423,1.0
1431,1.0
14exterior,1.0
14th,2.0
14use,5.0
15,9.0
15%,1.0
15',1.0
15-1116825,1.0
15-1119472,1.0
150,2.0
1500,1.0
1501,2.0
1520,1.0
1522.,1.0
15543,1.0
15584,1.0
15th,1.0
16,5.0
"16,",1.0
16-1127725.,1.0
16-1129916.excess,1.0
16-1147659.,1.0
16-1148207,1.0
16-1150238open,1.0
16.24.330,1.0
1603,1.0
165,1.0
16use,2.0
17,1.0
"17-1157620,",1.0
17-1161860.exterior,1.0
1701,1.0
1705,1.0
1711,1.0
1749,1.0
17th,1.0
18,15.0
"18,",1.0
1813,1.0
1817,1.0
1908.vehicle,1.0
1911,3.0
1921.high,1.0
1951,1.0
1953,1.0
1957,1.0
196-qdhvehicle,1.0
197,1.0
1987,1.0
199,1.0
1994,1.0
1995,1.0
1998,2.0
1998clean,1.0
1;,1.0
1b,1.0
1e3-3u0,1.0
1st,2.0
1use,1.0
2,142.0
2+,1.0
"2,water",1.0
2-3,2.0
2-3pm,1.0
2.,4.0
2.electrical,1.0
2.no,1.0
20,9.0
20-30,2.0
2000,2.0
2001,1.0
2002,1.0
2003,1.0
2004,1.0
2009.parking,1.0
201,1.0
2010,1.0
2011.,1.0
2013,2.0
2013-blk,1.0
2013.,1.0
2013exterior,1.0
2014,1.0
2014;,1.0
2014open,1.0
2015,3.0
2015.,1.0
201515772.,1.0
201515982.,1.0
201529778.,1.0
201556797use,1.0
2015exterior,1.0
2015unlic,1.0
2016,5.0
2016.,2.0
2016.unlic,1.0
2016high,1.0
2017,1.0
2017.high,1.0
2017high,1.0
2021.,1.0
2025,2.0
203,2.0
2036,1.0
2040,1.0
205,1.0
209,2.0
20excess,1.0
20use,1.0
20x20,1.0
21.,1.0
2100,1.0
211,1.0
2110,1.0
2111,1.0
2116,1.0
212,1.0
2131,1.0
215,1.0
216,1.0
2160,1.0
2165,1.0
2177,1.0
219)open,1.0
"219,",1.0
220,2.0
2210lighting,1.0
2219,1.0
222,1.0
2220,1.0
227-brbvehicle,1.0
228,1.0
22ndvehicle,1.0
23.,1.0
2306,1.0
2311,1.0
2312,1.0
2313,1.0
2314,1.0
2316.,1.0
2321,1.0
2325,1.0
236-vqtvehicle,1.0
238,1.0
24,1.0
24/7;,1.0
24/7open,1.0
24/7trash,1.0
2409,1.0
242,1.0
243,1.0
2439exterior,1.0
247,1.0
24th/hyde,1.0
25,27.0
25%,19.0
"25%,",1.0
"25%,parking",4.0
"25%,unlic",3.0
"25%,use",2.0
25%signs,1.0
2500,1.0
2501,1.0
2504,1.0
2505,1.0
251,1.0
2525,1.0
2547,1.0
"2557,",1.0
25th,2.0
2603,2.0
2609,1.0
261,1.0
2617,1.0
2628,1.0
263,2.0
27,1.0
2701,1.0
2704,1.0
"2711,",1.0
2713,1.0
2714,2.0
2735,1.0
2744,1.0
28,1.0
2801,1.0
2803/,1.0
2804,1.0
2804.open,1.0
283.,1.0
2846,1.0
2855,1.0
2897,1.0
28use,1.0
2901,1.0
2901high,1.0
2915,2.0
2932,1.0
2934/,1.0
294,1.0
2941,1.0
2980,1.0
29;,1.0
2:30-4:30,1.0
2;,2.0
2nd,6.0
3,58.0
3',1.0
3-4,2.0
3/13/17,1.0
3/14,1.0
30,1.0
30',1.0
300',1.0
300.parking,1.0
302,1.0
302.,1.0
303,2.0
303),1.0
304,1.0
30av913,1.0
30th,2.0
31.,1.0
310,1.0
3109,1.0
311,1.0
3119;,1.0
3130)open,1.0
315,1.0
3161,1.0
"317-a,",1.0
318,1.0
318.high,1.0
31st,3.0
320failure,1.0
"321-c,",1.0
3217open,1.0
3222,1.0
3225,1.0
3242,1.0
3255,1.0
3257,1.0
3260vehicle,1.0
3264,1.0
327,1.0
328,1.0
3301,1.0
3306,1.0
3307,1.0
3314,1.0
3318,1.0
333,3.0
333.,1.0
3400,2.0
3401,1.0
3404,1.0
3405,1.0
347,1.0
34th,1.0
35.,1.0
3541,1.0
3557,1.0
3559,1.0
36,2.0
3604use,1.0
3606,1.0
"3612,3616,3620",1.0
3628.comply,1.0
3638damaged,1.0
3643,1.0
3706;,1.0
37129open,1.0
37174.exterior,1.0
3720,1.0
37203,1.0
37203use,1.0
3721,1.0
3723,2.0
372vplvehicle,1.0
3734,1.0
3735,1.0
3747,1.0
380,2.0
3811unlic,1.0
3821,1.0
3876,1.0
3905,1.0
3977,1.0
3:30,3.0
3;,1.0
3a,1.0
3am,1.0
3b7hc13y7sm181289vehicle,1.0
4,50.0
4-5,5.0
4.,1.0
"4.overcrowding,parking",1.0
4/5,1.0
40-50,1.0
400,1.0
4002,1.0
4008.vehicle,1.0
400yjy,1.0
401,2.0
402,1.0
4026,1.0
4027,1.0
4039).open,1.0
404,2.0
404)open,1.0
4061,1.0
408,1.0
409,1.0
409open,1.0
40g,1.0
411,1.0
412,1.0
414,1.0
416,1.0
"416,",1.0
419,2.0
41st.,1.0
4202open,1.0
421,1.0
422high,1.0
4244,1.0
425,2.0
4287,1.0
429,1.0
42nd,1.0
43,1.0
431.,1.0
4327/4329,1.0
435,1.0
435unlic,1.0
438,1.0
4421,1.0
443/445open,1.0
450,1.0
4509.,1.0
451,1.0
4515,1.0
4523,1.0
453,1.0
4561,1.0
458,1.0
4600,2.0
4606,1.0
4622,1.0
4650,1.0
4653,1.0
4700,2.0
4701,1.0
4750a,1.0
4750b,1.0
4810,1.0
4810prohibited,1.0
4816.open,1.0
486,3.0
4900,1.0
4904,1.0
4950.,1.0
4961,1.0
4977,1.0
4:30,4.0
4:30am.hours,1.0
4ft,2.0
4th,3.0
4use,1.0
4x4,2.0
5,20.0
5',1.0
5).,1.0
5-7,2.0
5.,2.0
50,5.0
50%,1.0
50-60,1.0
500,3.0
501,2.0
502,2.0
5024,1.0
5026accessory,1.0
504,1.0
5094,1.0
50open,1.0
510,1.0
5101,1.0
511,1.0
512,2.0
5135,1.0
516,1.0
519-337vehicle,1.0
51st.,1.0
521,1.0
5242,1.0
5258,1.0
526,2.0
"526,",2.0
5262,1.0
5302,1.0
5309,1.0
5320,2.0
535-brmvehicle,1.0
537,1.0
5375,1.0
5424,1.0
55,2.0
5501,2.0
5510,1.0
5527,1.0
5553,1.0
558-pxqvehicle,1.0
5724,1.0
578,1.0
5832,2.0
5863,1.0
5:00,1.0
5:30,1.0
5parking,1.0
5th,3.0
5th.,1.0
6,22.0
6',2.0
6-7,2.0
6-8,2.0
6.28.030,1.0
6/2/16commercial,1.0
6/8,1.0
600,3.0
6019.open,1.0
606,3.0
612,1.0
612high,2.0
613,1.0
615-878-,1.0
615.234.6390,1.0
615.924.1216,1.0
617,1.0
6170,1.0
618,1.0
6180,1.0
62-21,1.0
620,1.0
621,1.0
626/628,1.0
630,1.0
6304,1.0
6317,1.0
6354,1.0
636,1.0
6940,1.0
6:00,1.0
6:30,3.0
6;,1.0
6e6-7co,1.0
6exterior,1.0
6open,1.0
6th,1.0
6th)open,1.0
7,8.0
7.,1.0
7/6/16open,1.0
70,3.0
70's,1.0
700,1.0
7027aj1.,1.0
703,1.0
708,1.0
711.open,1.0
712.,1.0
715,1.0
718-zpdvehicle,1.0
"7208,7212,7220,7224,7228,7232,7236",1.0
721,2.0
"725,",1.0
"727,",1.0
728building,1.0
7309,1.0
734,1.0
738,1.0
740,1.0
7408exterior,1.0
7439,1.0
744,1.0
7452,1.0
75-100,1.0
751,1.0
753,1.0
774,1.0
7am.signs,1.0
8,23.0
8-10,4.0
8-10ft.fence,1.0
80,1.0
800,1.0
807,1.0
809,1.0
8126.high,1.0
821,1.0
"821,",1.0
8226,1.0
"823,",1.0
825,1.0
827,1.0
827.exterior,1.0
"829,",1.0
83,1.0
"831,",1.0
840,1.0
8410.vehicle,1.0
848,1.0
851,1.0
860,1.0
864,1.0
8690505use,1.0
870,1.0
87101,1.0
874,1.0
89;,1.0
8th,1.0
9,6.0
9-10,1.0
9/15exterior,1.0
9/23/17,1.0
90's,1.0
900,3.0
903/905,1.0
904,1.0
904.vehicle,1.0
905,1.0
906,1.0
907,1.0
909,1.0
910,1.0
911,2.0
912parking,1.0
913,2.0
915,2.0
917,1.0
92,1.0
922,1.0
923-tqr,1.0
923-tqr.,1.0
932,1.0
937,1.0
943,1.0
951,1.0
"996-tqv,",1.0
9:00,1.0
9:30am.commercial,1.0
9parking,2.0
9th,4.0
9th%vehicle,1.0
:,1.0
;,2.0
@,62.0
[porchboarding,1.0
a,1172.0
a&a,1.0
a&b,1.0
"a,",4.0
a-1,2.0
"a-1,",1.0
a-frame,4.0
a-high,1.0
a.,6.0
a.m.use,1.0
a.open,1.0
a/c,2.0
a;,4.0
aa);,1.0
aaa,1.0
aaccessory,1.0
aand,1.0
abadonded,1.0
abandon,2.0
abandonded,6.0
abandoned,224.0
abandoned)unlic,1.0
"abandoned,",4.0
abandoned.,2.0
abandoned.failure,1.0
abandoned/dilapidated,2.0
abandoned/inoperable,4.0
abandoned/inoperable/wrecked,1.0
abandonedhigh,1.0
abandonedopen,1.0
abandonedvehicle,1.0
abate,6.0
abatebuilding,1.0
abated,1.0
abbott,1.0
able,2.0
about,18.0
above,31.0
absolute,1.0
ac,4.0
acc,4.0
acc.,2.0
acceptance,1.0
acces,127.0
acces.,1.0
accesory,2.0
access,6.0
"access,open",1.0
access.,5.0
accessory,58.0
"accessory,",3.0
accessoryaccessory,2.0
accessoryhigh,1.0
accessoryopen,1.0
accident.,1.0
accidentaccessory,1.0
accommodation,1.0
accord,4.0
accord.,1.0
accord.vehicle,1.0
according,12.0
accordvehicle,2.0
accounting,1.0
accum.,2.0
accumilation,3.0
accumulation,4154.0
accurate,1.0
ace,3.0
ack-7272unlic,1.0
"acornices,",1.0
acquired,1.0
acre,1.0
acres.,1.0
acres.chickens,1.0
acreshigh,1.0
across,31.0
act,1.0
action,1.0
actionsopen,1.0
actionswater,1.0
active,1.0
activities,1.0
activity,3.0
"activity,exterior",1.0
"activity,fence",1.0
activityexterior,1.0
"acts,open",1.0
actual,2.0
actually,1.0
acura,2.0
acuraexterior,1.0
ad,5.0
"ad,",1.0
"ad,don't",1.0
ad.,2.0
ad.excess,3.0
add,3.0
addded,1.0
added,15.0
addiding,1.0
addied,1.0
adding,19.0
addition,45.0
addition.building,1.0
addition/deck,1.0
addition/hvacbuilding,1.0
additional,2.0
additionbuilding,4.0
additioncertificate,1.0
additions,1.0
address,47.0
address)open,1.0
"address,",7.0
address.,6.0
address..,1.0
address.unlic,1.0
address.use,1.0
address.vehicle,1.0
addresscommercial,3.0
addressed,1.0
addresses.exterior,1.0
addressexterior,1.0
addressfailure,1.0
addresshome,1.0
addressopen,1.0
addressparking,2.0
"addresss,",1.0
adjacent,6.0
adm,10.0
adm.high,1.0
adm.open,2.0
adm.unlic,1.0
administration,1.0
admopen,3.0
ads,2.0
ads.,1.0
ads.excess,1.0
adstrp,1.0
adult,1.0
adults,91.0
"adults,parking",53.0
"adults,plumbing",1.0
"adults,rodents,",1.0
"adults,smoke",1.0
"adults,unlic",13.0
"adults,use",16.0
adults.,1.0
adultsovercrowding,1.0
advance,3.0
advanced,1.0
advantaclean;,1.0
adverisement,1.0
adverting,1.0
advertise,1.0
advertised,4.0
advertised.use,1.0
advertiseing,1.0
advertisement,15.0
advertisement.excess,2.0
advertisement.strp,2.0
advertisement.use,2.0
advertisementexcess,7.0
advertisementexcessive,1.0
advertisementsstrp,1.0
advertisementstrp,16.0
advertising,145.0
advertising.,1.0
advertising.strp,1.0
advertising/renting,2.0
advertisinghigh,1.0
advertisment,2.0
advertisment.excess,1.0
advised,3.0
advisoruse,1.0
aelectronic,1.0
aerator,1.0
after,15.0
afternoon/weekendsparking,1.0
again,7.0
again.,3.0
again.open,1.0
again.use,1.0
againhigh,1.0
against,60.0
"agency
trash,",1.0
agency.,1.0
agency/talent,1.0
agencysigns,1.0
aggressivebuilding,1.0
ago,4.0
ago),1.0
"ago,",2.0
ago.,7.0
ago.high,1.0
ago.unlic,1.0
agoopen,2.0
agragate,1.0
agreement,3.0
"agreement,",1.0
ahigh,2.0
ainlay,2.0
air,25.0
airbnb,2.0
airbnb.,1.0
airbnbstrp,1.0
airstream,10.0
airwood,1.0
al,1.0
alabama,2.0
alandee,1.0
albee,1.0
alcohol,1.0
"alcohol,",1.0
aldi'suse,1.0
aldi.use,1.0
algae.,1.0
algae;,1.0
all,1662.0
"all,exterior",938.0
"all,failure",6.0
"all,fence",2.0
"all,garage",3.0
"all,graffiti",1.0
"all,graffiti,high",1.0
"all,high",143.0
"all,home",2.0
"all,house",1.0
"all,illegal",5.0
"all,interior",2.0
"all,keeping",1.0
"all,landlord",12.0
"all,litter",3.0
"all,occupancy",8.0
"all,open",12.0
"all,overcrowding",1.0
"all,overcrowding,overcrowding",1.0
"all,parking",162.0
"all,paving",1.0
"all,plumbing",1.0
"all,prohibited",4.0
"all,remove",3.0
"all,repair",1.0
"all,rubbish",14.0
"all,sanitary",1.0
"all,sign",2.0
"all,stagnant",3.0
"all,stop",5.0
"all,swimming",3.0
"all,trash",1.0
"all,unlic",52.0
"all,unsafe",1.0
"all,use",59.0
"all,vehicle",1.0
alleged,10.0
allegedly,1.0
allen,1.0
allen.damaged,1.0
allexterior,1.0
alley,40.0
alley).,1.0
alley)open,1.0
"alley,",3.0
alley.,7.0
alley.accessory,2.0
alley.address,1.0
alley.exterior,1.0
"alley.graffiti,overcrowding",1.0
alley.open,9.0
alley.unlic,1.0
alley;,1.0
alleyaccessory,2.0
alleyaddress,1.0
alleybuilding,1.0
alleyexterior,13.0
alleyfailure,1.0
alleygraffiti,1.0
alleyhigh,9.0
alleylandlord,1.0
alleyopen,109.0
alleyvehicle,1.0
alleyway,5.0
"alleyway),",1.0
"alleyway,",1.0
alleyway.high,1.0
alleyway.open,2.0
alleywayexterior,1.0
alleywayillegal,1.0
alleywayopen,6.0
allhigh,1.0
allover,1.0
allow,2.0
allowable,2.0
allowed,10.0
"allowed,",1.0
allowed.,4.0
allowed.strp,1.0
allowed.use,1.0
allowedbuilding,1.0
alloweddexcess,1.0
allowedexcess,13.0
allowedstrp,1.0
alloweduse,1.0
allowing,3.0
allows,3.0
allows.excess,1.0
allowsexcess,4.0
almost,7.0
alocholic,1.0
aloft,1.0
along,54.0
alongside,3.0
alot,2.0
alpine.,1.0
alpine.detriment,1.0
alraso,1.0
already,4.0
already.,1.0
alreadysanitary,1.0
also,119.0
also)open,1.0
also.,2.0
also.building,1.0
alsoopen,2.0
alsouse,1.0
altering,1.0
altima,8.0
"altima,",1.0
altima.,1.0
altimaexterior,1.0
altimaparking,1.0
altimaunlic,1.0
altimavehicle,1.0
aluminum,1.0
always,1.0
am,18.0
am.,1.0
am.use,1.0
am;,1.0
"amanti,",1.0
ambulance,1.0
america,2.0
american,7.0
americaprohibited,1.0
amhours,8.0
aminal,1.0
amnd,1.0
amount,2.0
amp,1.0
amuse,1.0
amusement,1.0
amv,136.0
amvets,1.0
amvparking,1.0
amvvehicle,4.0
an,109.0
and,7847.0
and/or,3.0
anderson,2.0
andersonexterior,1.0
andersonhigh,1.0
andrew,2.0
angry,2.0
animal,4.0
animalchickens,1.0
animals,32.0
"animals,commercial",2.0
"animals,exterior",3.0
"animals,high",1.0
"animals,keeping",1.0
"animals,open",8.0
"animals,swimming",1.0
animals.exterior,1.0
animals/rodents,1.0
animalsaccessory,1.0
animalsexterior,1.0
ann,1.0
anold,1.0
another,12.0
anthony,1.0
"antifreeze,",1.0
antioch,1.0
any,12.0
anyone,4.0
anything,1.0
anythingelectrical,1.0
aopen,2.0
apart,1.0
apartdamaged,1.0
apartexterior,4.0
apartment,33.0
"apartment,",2.0
"apartment,use",1.0
apartment.,5.0
"apartment.overcrowding,use",1.0
apartment.use,1.0
apartmentbuilding,2.0
apartments,15.0
apartments);,1.0
apartments)open,1.0
apartments-,1.0
apartments.,4.0
apartments.exterior,1.0
apartments.open,1.0
"apartments.overcrowding,overcrowding",1.0
apartments.vehicle,1.0
apartments;,2.0
apartmentsexterior,1.0
apartmentsfailure,1.0
apartmentsopen,3.0
"apartmentsovercrowding,use",1.0
apartmentsuse,1.0
apartmentuse,1.0
apn,1.0
appeal,1.0
appeals.,1.0
appear,1.0
appears,6.0
applebee's,1.0
appleby's,1.0
